fulldate,date,post_frequency,year,month,day,hour,dow,Wkend,dowNum,permalink,post,theme,type,countries,posted,total_reach,paid_reach,viral_reach,impressions,paid_impressions,engaged_users,engagement_rate,comments,likes,shares,link_clicks,photo_views,video_plays,other_clicks,interactions
2-Jul,2-Jul,1,2013,7,2,14,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151678067409076:0,"Style tip for our guys: this summer, it’s all about BLUE. http://brstyl.es/1cMX39B  Try pairing classic navy with a sunny hue, or dive into aqua—the season’s coolest shade.",,Photo,,7/2/2013 14:30,116288,0,1368,241689,0,3986,0.03,53,570,41,80,3106,,852,664
3-Jul,3-Jul,1,2013,7,3,8,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151679601999076:0,"Have you peeked our summer sale? Step up your style game & save up to 50% off!  Shop online or swing by our stores, while supplies last*   Shop gals: http://brstyl.es/13s31Nk Shop guys: http://brstyl.es/12dKn5L",,Photo,,7/3/2013 8:47,142144,0,1809,288984,0,5304,0.04,10,618,44,310,2874,,2872,672
4-Jul,4-Jul,1,2013,7,4,8,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151681609774076:0,"How will you be spending the day? Wishing you a safe, fun & stylish holiday!",,Photo,,7/4/2013 8:50,61856,0,1910,106814,0,2566,0.04,11,969,49,7,1406,,554,1029
5-Jul,5-Jul,1,2013,7,5,9,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151683722714076:0,"Weekend Style Forecast: red, bright & blue!  » http://brstyl.es/12CnatN",,Photo,,7/5/2013 9:10,88448,0,1659,177147,0,3688,0.04,18,899,34,116,2396,,1332,951
6-Jul,6-Jul,1,2013,7,6,14,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151686377529076:0,Fresh & Fun: Mariah T-Strap Sandal. Throw ‘em on and go! http://brstyl.es/10zX0LZ,,Photo,,7/6/2013 14:30,101728,0,2417,206124,0,4080,0.04,26,1701,51,191,1776,,1253,1778
8-Jul,8-Jul,1,2013,7,8,14,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151690567959076:0,"have you entered our #BRLove4All sweepstakes?  Share a photo of you and your better half for a chance to be outfitted by Banana Republic for an upcoming special occasion!   Enter Now, contest ends tomorrow at 11:59pm/et: http://bit.ly/19tOELX",,Photo,,7/8/2013 14:40,130944,0,5302,280607,0,4902,0.04,75,1192,100,158,1942,,2566,1367
9-Jul,9-Jul,1,2013,7,9,13,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151692911109076:0,TUESDAY DAYDREAMING—we’re envisioning a beachside vacation in this breezy getup. Where would YOU go?  Shop our summer essentials » http://brstyl.es/1altkZB,,Photo,,7/9/2013 13:30,71584,0,2456,153753,0,3182,0.04,11,863,34,52,2047,,817,908
10-Jul,10-Jul,2,2013,7,10,10,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151694623434076:0,"The rumors are true! We’re teaming up with designer L'Wren Scott for a limited edition capsule collection, debuting December 5th. Who’s excited?  Read more from Vogue: http://bit.ly/12ZhONP",,Photo,,7/10/2013 10:56,88992,0,8288,189564,0,3490,0.04,17,859,44,157,1730,,1239,920
10-Jul,10-Jul,2,2013,7,10,16,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151695243899076,"A big congrats to Chelsea S! Chelsea is the grand prize winner of our Banana Republic Milly Sweepstakes, and the recipient of a new Fiat 500 & summer trip*  Thanks to all who entered, stay tuned for more great ways to win! *Winner has been contacted via email",,Status,,7/10/2013 16:26,298880,0,243,649946,0,2836,0.01,36,417,5,4,,,2499,458
11-Jul,11-Jul,2,2013,7,11,10,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151696632254076:0,"We’re thrilled to announce Banana Republic is the official formal wear supplier of the Oracle Team USA, Defender of 34th America’s Cup in San Francisco, let’s go #OracleTeamUSA!",,Photo,,7/11/2013 10:32,86240,0,2065,159314,0,4272,0.05,17,757,31,14,3362,,752,805
11-Jul,11-Jul,2,2013,7,11,16,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151697152099076:0,Live from NY! We’re sharing a few sneak peeks from our #BRHoliday Collection (like these blue beauties)   Follow @BananaRepublic on Instagram for more » http://bit.ly/10PHAn0,,Photo,,7/11/2013 16:19,99392,0,2993,198678,0,4086,0.04,51,1358,56,220,2166,,1184,1465
13-Jul,13-Jul,1,2013,7,13,11,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151700345309076:0,"Meet summer’s perfect pant http://brstyl.es/156kcTB  Our newest Camden fit flatters in a slim ankle silhouette with a hint of stretch (available in prints & solids, too!)",,Photo,,7/13/2013 11:22,144512,0,3678,299424,0,8036,0.06,76,1570,84,164,6008,,1824,1730
14-Jul,14-Jul,1,2013,7,14,11,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151702185754076:0,The Presidio Hobo—available in classic colors & summer's brightest hues http://brstyl.es/11Oteps,,Photo,,7/14/2013 11:56,107328,0,1507,218527,0,5264,0.05,28,932,50,267,3766,,1210,1010
15-Jul,15-Jul,2,2013,7,15,10,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151704194124076:0,Now available—RESERVE IN STORE  Discover your favorite style online & we’ll have it ready and waiting in your local store. http://brstyl.es/12AYt60,,Photo,,7/15/2013 10:20,8916,0,181,14064,0,1376,0.15,3,28,5,,1325,,57,36
15-Jul,15-Jul,2,2013,7,15,14,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151704615284076:0,"Eternally cool and always essential, nothing says summer like our sunglasses » http://brstyl.es/12snm08",,Photo,,7/15/2013 14:30,66688,0,1195,139286,0,2585,0.04,8,765,29,71,1536,,642,802
16-Jul,16-Jul,1,2013,7,16,9,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151706079439076:0,SPORT IT: Take this trend for a spin in our new athletic-inspired pieces » http://brstyl.es/18Z1CR0,,Photo,,7/16/2013 9:10,56416,0,822,119330,0,2375,0.04,4,411,18,39,1784,,542,433
17-Jul,17-Jul,1,2013,7,17,14,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151708760489076:0,Dahlia Burst Necklace—which color is your fave?  http://brstyl.es/17gPPcF,,Photo,,7/17/2013 14:30,67264,0,1744,143772,0,2694,0.04,40,516,25,36,1870,,686,581
18-Jul,18-Jul,1,2013,7,18,12,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151710744019076:0,For the guys—new editor-approved summer styles » http://brstyl.es/13n5enw,,Photo,,7/18/2013 12:10,78048,0,880,151582,0,3342,0.04,11,460,18,84,2664,1,566,489
19-Jul,19-Jul,1,2013,7,19,9,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151712433874076:0,Our Mia printed tee + a pop of color = fit for a Friday » http://brstyl.es/18hsXuS,,Photo,,7/19/2013 9:10,88032,0,1025,170287,0,5022,0.06,27,739,21,116,3946,,992,787
20-Jul,20-Jul,1,2013,7,20,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151714838579076:0,"Perfect for hauling everyday summer essentials, we’re tote-ally coveting the Colette » http://brstyl.es/11S2cgZ",,Photo,,7/20/2013 12:30,43616,0,406,88670,0,2668,0.06,9,442,19,81,1993,,483,470
