id,blog_id,url,blog,fulldate,date,time,hour,notes,notes_mean,notes_index,post_frequency
1,1.35505E+11,"http://calvinklein.tumblr.com/post/135505149867/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-19 14:15:00 GMT,12/19/2015,14:15:00,14,68,125,0.544,1
2,1.35461E+11,"http://calvinklein.tumblr.com/post/135461210927/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-18 20:40:00 GMT,12/18/2015,20:40:00,20,77,125,0.616,2
3,1.35444E+11,"http://calvinklein.tumblr.com/post/135444339547/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-18 14:40:00 GMT,12/18/2015,14:40:00,14,51,125,0.408,2
4,1.35409E+11,"http://calvinklein.tumblr.com/post/135408933652/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-17 23:40:00 GMT,12/17/2015,23:40:00,23,45,125,0.36,4
5,1.35402E+11,"http://calvinklein.tumblr.com/post/135402387587/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-17 21:40:00 GMT,12/17/2015,21:40:00,21,61,125,0.488,4
6,1.35399E+11,"http://calvinklein.tumblr.com/post/135398967482/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-17 20:40:00 GMT,12/17/2015,20:40:00,20,183,125,1.464,4
7,1.35396E+11,"http://calvinklein.tumblr.com/post/135395767432/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-17 19:40:00 GMT,12/17/2015,19:40:00,19,34,125,0.272,4
8,1.35283E+11,"http://calvinklein.tumblr.com/post/135283002362/pre-fall-2016-calvin-klein-collection,",calvinklein,2015-12-16 00:14:00 GMT,12/16/2015,0:14:00,0,174,125,1.392,1
9,1.35204E+11,"http://calvinklein.tumblr.com/post/135203630067/in-celebration-of-the-holidays-a-look-at-the,",calvinklein,2015-12-14 20:30:00 GMT,12/14/2015,20:30:00,20,68,125,0.544,3
10,1.35196E+11,"http://calvinklein.tumblr.com/post/135195544147/in-celebration-of-the-holidays-a-look-at-the,",calvinklein,2015-12-14 18:00:01 GMT,12/14/2015,18:00:01,18,48,125,0.384,3
11,1.35189E+11,"http://calvinklein.tumblr.com/post/135189054542/in-celebration-of-the-holidays-a-look-at-the,",calvinklein,2015-12-14 15:45:00 GMT,12/14/2015,15:45:00,15,44,125,0.352,3
12,1.35051E+11,"http://calvinklein.tumblr.com/post/135051315187/in-celebration-of-the-holidays-a-look-at-the,",calvinklein,2015-12-12 16:03:00 GMT,12/12/2015,16:03:00,16,44,125,0.352,1
13,1.35011E+11,"http://calvinklein.tumblr.com/post/135011275647/in-celebration-of-the-holidays-a-look-at-the,",calvinklein,2015-12-11 23:42:57 GMT,12/11/2015,23:42:57,23,93,125,0.744,1
14,1.34804E+11,"http://calvinklein.tumblr.com/post/134803533402/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-08 18:42:00 GMT,12/8/2015,18:42:00,18,112,125,0.896,1
15,1.34748E+11,"http://calvinklein.tumblr.com/post/134747615817/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-07 21:42:00 GMT,12/7/2015,21:42:00,21,40,125,0.32,2
16,1.34741E+11,"http://calvinklein.tumblr.com/post/134740767297/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-07 19:42:00 GMT,12/7/2015,19:42:00,19,22,125,0.176,2
17,1.34681E+11,"http://calvinklein.tumblr.com/post/134681145852/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-06 22:03:00 GMT,12/6/2015,22:03:00,22,12,125,0.096,2
18,1.3467E+11,"http://calvinklein.tumblr.com/post/134669864242/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-06 19:03:00 GMT,12/6/2015,19:03:00,19,47,125,0.376,2
19,1.346E+11,"http://calvinklein.tumblr.com/post/134599594197/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-05 18:03:00 GMT,12/5/2015,18:03:00,18,29,125,0.232,1
20,1.34554E+11,"http://calvinklein.tumblr.com/post/134553577462/a-look-at-the-holiday-monograming-process-at-our,",calvinklein,2015-12-04 23:34:00 GMT,12/4/2015,23:34:00,23,20,125,0.16,1
21,1.34012E+11,http://calvinklein.tumblr.com/post/134011742222/give-thanks-wishing-you-a-happy-holiday-season,calvinklein,2015-11-26 20:01:00 GMT,11/26/2015,20:01:00,20,79,125,0.632,5
22,1.3401E+11,http://calvinklein.tumblr.com/post/134009933437/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-26 19:30:00 GMT,11/26/2015,19:30:00,19,269,125,2.152,5
23,1.34008E+11,http://calvinklein.tumblr.com/post/134008226937/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-26 19:00:01 GMT,11/26/2015,19:00:01,19,24,125,0.192,5
24,1.34006E+11,http://calvinklein.tumblr.com/post/134006315927/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-26 18:26:00 GMT,11/26/2015,18:26:00,18,56,125,0.448,5
25,1.34004E+11,http://calvinklein.tumblr.com/post/134004411067/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-26 17:52:00 GMT,11/26/2015,17:52:00,17,75,125,0.6,5
26,1.33888E+11,http://calvinklein.tumblr.com/post/133888113227/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-24 22:30:00 GMT,11/24/2015,22:30:00,22,68,125,0.544,5
27,1.33886E+11,http://calvinklein.tumblr.com/post/133886382832/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-24 22:01:00 GMT,11/24/2015,22:01:00,22,61,125,0.488,5
28,1.33885E+11,http://calvinklein.tumblr.com/post/133884529032/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-24 21:30:00 GMT,11/24/2015,21:30:00,21,46,125,0.368,5
29,1.33883E+11,http://calvinklein.tumblr.com/post/133882755357/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-24 21:01:00 GMT,11/24/2015,21:01:00,21,81,125,0.648,5
30,1.33881E+11,http://calvinklein.tumblr.com/post/133880738842/forming-light-artist-sophia-dixon-dillo-creates,calvinklein,2015-11-24 20:26:55 GMT,11/24/2015,20:26:55,20,45,125,0.36,5
31,1.33599E+11,http://calvinklein.tumblr.com/post/133599495572,calvinklein,2015-11-20 16:43:00 GMT,11/20/2015,16:43:00,16,75,125,0.6,1
32,1.33435E+11,http://calvinklein.tumblr.com/post/133434603177/fall-2015-calvin-klein-eyewear,calvinklein,2015-11-18 01:00:00 GMT,11/18/2015,1:00:00,1,96,125,0.768,2
33,1.33432E+11,http://calvinklein.tumblr.com/post/133432414877/fall-2015-calvin-klein-eyewear,calvinklein,2015-11-18 00:19:52 GMT,11/18/2015,0:19:52,0,45,125,0.36,2
34,1.33349E+11,http://calvinklein.tumblr.com/post/133348776702/jordy-murryphotographed-by-chuck-lang,calvinklein,2015-11-16 18:37:00 GMT,11/16/2015,18:37:00,18,158,125,1.264,2
35,1.33335E+11,http://calvinklein.tumblr.com/post/133335187377/model-jordy-murry-wears-the-magnetic-force,calvinklein,2015-11-16 13:33:00 GMT,11/16/2015,13:33:00,13,116,125,0.928,2
36,1.33263E+11,http://calvinklein.tumblr.com/post/133263413107/jordy-murry-photographed-by-chuck-lang,calvinklein,2015-11-13 18:33:00 GMT,11/13/2015,18:33:00,18,76,125,0.608,5
37,1.33237E+11,http://calvinklein.tumblr.com/post/133236986852/jordy-murry-photographed-by-chuck-lang,calvinklein,2015-11-13 22:33:00 GMT,11/13/2015,22:33:00,22,527,125,4.216,5
38,1.33157E+11,http://calvinklein.tumblr.com/post/133156728247/model-jordy-murry-wears-the-magnetic-force,calvinklein,2015-11-13 14:33:00 GMT,11/13/2015,14:33:00,14,146,125,1.168,5
39,1.33155E+11,http://calvinklein.tumblr.com/post/133154538067/model-jordy-murry-wears-the-magnetic-force,calvinklein,2015-11-13 13:54:27 GMT,11/13/2015,13:54:27,13,82,125,0.656,5
40,1.33131E+11,http://calvinklein.tumblr.com/post/133130717452/model-jordy-murry-wears-the-magnetic-force,calvinklein,2015-11-13 12:33:00 GMT,11/13/2015,12:33:00,12,111,125,0.888,5
41,1.33086E+11,http://calvinklein.tumblr.com/post/133085926522/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 20:31:00 GMT,11/12/2015,20:31:00,20,238,125,1.904,7
42,1.33084E+11,http://calvinklein.tumblr.com/post/133084391702/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 20:04:00 GMT,11/12/2015,20:04:00,20,94,125,0.752,7
43,1.33082E+11,http://calvinklein.tumblr.com/post/133082498527/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 19:29:00 GMT,11/12/2015,19:29:00,19,59,125,0.472,7
44,1.33081E+11,http://calvinklein.tumblr.com/post/133081055132/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 19:01:00 GMT,11/12/2015,19:01:00,19,54,125,0.432,7
45,1.33079E+11,http://calvinklein.tumblr.com/post/133079487432/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 18:30:00 GMT,11/12/2015,18:30:00,18,308,125,2.464,7
46,1.33078E+11,http://calvinklein.tumblr.com/post/133077962012/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 18:00:01 GMT,11/12/2015,18:00:01,18,76,125,0.608,7
47,1.33073E+11,http://calvinklein.tumblr.com/post/133073301687/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-12 16:25:35 GMT,11/12/2015,16:25:35,16,76,125,0.608,7
48,1.33025E+11,http://calvinklein.tumblr.com/post/133024919712/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-11 21:44:00 GMT,11/11/2015,21:44:00,21,49,125,0.392,3
49,1.33004E+11,http://calvinklein.tumblr.com/post/133004497062/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-11 15:30:00 GMT,11/11/2015,15:30:00,15,37,125,0.296,3
50,1.33001E+11,http://calvinklein.tumblr.com/post/133001086557/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-11 14:09:00 GMT,11/11/2015,14:09:00,14,49,125,0.392,3
51,1.32952E+11,http://calvinklein.tumblr.com/post/132952228197/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-10 20:01:00 GMT,11/10/2015,20:01:00,20,256,125,2.048,5
52,1.32946E+11,http://calvinklein.tumblr.com/post/132946176727/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-10 18:01:00 GMT,11/10/2015,18:01:00,18,31,125,0.248,5
53,1.32941E+11,http://calvinklein.tumblr.com/post/132940726327/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-10 16:04:00 GMT,11/10/2015,16:04:00,16,75,125,0.6,5
54,1.32938E+11,http://calvinklein.tumblr.com/post/132938147552/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-10 15:04:00 GMT,11/10/2015,15:04:00,15,25,125,0.2,5
55,1.32936E+11,http://calvinklein.tumblr.com/post/132935626207/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-10 14:00:00 GMT,11/10/2015,14:00:00,14,83,125,0.664,5
57,1.3289E+11,http://calvinklein.tumblr.com/post/132890353192/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-09 21:00:00 GMT,11/9/2015,21:00:00,21,125,125,1,5
58,1.32889E+11,http://calvinklein.tumblr.com/post/132889080952/a-look-at-the-calvin-klein-s16-press-preview,calvinklein,2015-11-09 20:39:00 GMT,11/9/2015,20:39:00,20,276,125,2.208,5
59,1.32885E+11,http://calvinklein.tumblr.com/post/132884714167/a-look-at-the-calvin-klein-s16-press,calvinklein,2015-11-09 19:24:25 GMT,11/9/2015,19:24:25,19,263,125,2.104,5
